,forecast,lower_bound_95,upper_bound_95,lower_bound_80,upper_bound_80,lower_bound_65,upper_bound_65,lower_bound_50,upper_bound_50
2024-01-01,11.454920343265293,11.107245723252417,11.80259496327817,11.227588128442894,11.682252558087692,11.289135165983922,11.620705520546665,11.335273773505985,11.5745669130246
2024-02-01,11.495987253285257,10.970102427800432,12.021872078770082,11.15212964839443,11.839844858176084,11.245224315745107,11.746750190825408,11.315012537744039,11.676961968826475
2024-03-01,11.470039350169401,10.858513299102,12.081565401236801,11.070183957775216,11.869894742563586,11.178439247796007,11.761639452542795,11.259592598761547,11.680486101577255
2024-04-01,11.38206719891354,10.705685018528872,12.058449379298207,10.939804662960942,11.824329734866136,11.059541097696028,11.70459330013105,11.149301264700828,11.61483313312625
2024-05-01,11.458303371092516,10.71552907539978,12.20107766678525,10.972629364325144,11.943977377859888,11.104118851420344,11.812487890764688,11.202689669460426,11.713917072724605
2024-06-01,11.454095258482791,10.647182240499717,12.261008276465866,10.926483195398275,11.981707321567308,11.0693268283569,11.838863688608683,11.176409258014221,11.731781258951361
2024-07-01,11.441449310742666,10.576386266012488,12.306512355472844,10.87581498888093,12.007083632604402,11.028952619943539,11.853946001541793,11.143751923675197,11.739146697810135
2024-08-01,11.495351218617344,10.576683100134595,12.414019337100093,10.894666423006795,12.096036014227893,11.057293482680894,11.933408954553794,11.179206516655412,11.811495920579276
2024-09-01,11.61462449671283,10.645140722578622,12.584108270847038,10.980713129814246,12.248535863611414,11.15233582185845,12.07691317156721,11.280992412759824,11.948256580665836
2024-10-01,11.574843575039168,10.556854712451454,12.592832437626882,10.909216435537212,12.240470714541123,11.089425732205788,12.060261417872548,11.224519253242862,11.925167896835474
2024-11-01,11.582932313013897,10.518657642735445,12.64720698329235,10.887040510601576,12.278824115426218,11.075443544113678,12.090421081914116,11.216679482779067,11.949185143248727
2024-12-01,11.585537230257353,10.476961364543323,12.694113095971383,10.860678433138093,12.310396027376614,11.056923877863545,12.114150582651162,11.204038863635922,11.967035596878784
